addressCity,addressState,area,baths,beds,latitude,longitude,price
San Diego,CA,,,,32.71092,-117.163308,
San Diego,CA,1800,2.0,4,32.771532,-117.05824,"$3,900/mo"
San Diego,CA,1120,2.0,3,32.830275,-117.216559,"$2,650/mo"
San Diego,CA,,1.0,1,32.757955,-117.106256,"$1,295/mo"
La Jolla,CA,1800,2.0,4,32.812776,-117.267719,"$5,100/mo"
San Diego,CA,2344,2.5,2,33.034045,-117.074541,"$3,700/mo"
San Diego,CA,1749,2.0,3,32.962376,-117.140172,"$3,100/mo"
San Diego,CA,1200,3.0,3,32.745533,-117.153012,"$5,250/mo"
San Diego,CA,700,1.0,1,32.71642,-117.12316,"$1,375/mo"
San Diego,CA,,,,32.788415,-117.110026,
San Diego,CA,1686,2.0,4,32.93238,-117.14265,"$3,295/mo"
SAN DIEGO,CA,1500,2.5,3,32.86708,-117.21059,"$3,500/mo"
San Diego,CA,903,1.0,1,32.71985,-117.16562,"$2,750/mo"
San Diego,CA,5572,5.0,5,32.969558,-117.167213,"$7,000/mo"
San Diego,CA,,,,32.813758,-117.178024,
San Diego,CA,2353,3.0,5,32.85628,-117.212448,"$3,995/mo"
San Diego,CA,756,2.0,3,32.705544,-117.08618,"$1,750/mo"
San Diego,CA,3071,3.5,4,32.954586,-117.24177,"$4,895/mo"
San Diego,CA,,,,32.750532,-117.157141,
San Diego,CA,985,2.0,2,32.747677,-117.165323,"$1,850/mo"
San Diego,CA,,,,32.795054,-117.124447,
San Diego,CA,1968,2.0,3,32.807465,-117.24835,"$5,200/mo"
San Diego,CA,1584,3.0,3,32.94343,-117.2383,"$3,200/mo"
San Diego,CA,,2.5,4,32.752437,-117.233919,"$3,500/mo"
San Diego,CA,,,,32.737796,-117.164271,
San Diego,CA,474,1.0,0,32.722468,-117.159108,"$1,800/mo"
San Diego,CA,1699,2.0,4,32.950144,-117.132516,"$3,300/mo"
San Diego,CA,850,1.5,2,32.765123,-117.11945,"$2,295/mo"
San Diego,CA,2548,3.0,4,32.936279,-117.07454,"$3,500/mo"
San Diego,CA,984,2.0,2,32.759877,-117.131784,"$1,850/mo"
San Diego,CA,1200,1.0,3,32.753917,-117.118858,"$2,250/mo"
San Diego,CA,1046,2.0,2,32.773058,-117.166144,"$2,400/mo"
San Diego,CA,850,1.0,2,32.747427,-117.143742,"$1,895/mo"
San Diego,CA,,,,32.962921,-117.232261,
San Diego,CA,,,,32.756738,-117.141456,
San Diego,CA,650,1.0,1,32.753604,-117.135469,"$1,850/mo"
San Diego,CA,,1.0,1,32.740268,-117.162169,"$1,825/mo"
San Diego,CA,918,2.0,2,32.9675,-117.23084,"$1,599/mo"
San Diego,CA,,,,32.77207,-117.201831,
San Diego,CA,,,,32.731731,-117.168426,
San Diego,CA,1132,2.0,2,32.71044,-117.15921,"$4,500/mo"
San Diego,CA,,,,32.998508,-117.068244,
San Diego,CA,,,,32.806205,-117.156041,
San Diego,CA,,,,32.791938,-117.24527,
San Diego,CA,,1.0,2,32.746777,-117.179369,"$2,045/mo"
San Diego,CA,750,1.0,1,33.02507,-117.104072,"$1,700/mo"
San diego,CA,724,1.0,2,32.738768,-117.13212,"$3,500/mo"
San Diego,CA,1400,2.0,3,32.8119,-117.183509,"$3,375/mo"
San Diego,CA,3054,2.5,4,32.78437,-117.05878,"$5,400/mo"
San Diego,CA,667,1.0,1,32.786758,-117.108124,"$1,750/mo"
San Diego,CA,,,,32.767541,-117.05816,
San Diego,CA,1350,2.0,2,32.743321,-117.163841,"$2,250/mo"
San Diego,CA,1300,2.0,3,32.56488,-117.08025,"$2,750/mo"
San Diego,CA,,,,32.770533,-117.04671,
San Diego,CA,825,1.0,2,32.74989,-117.24448,"$2,150/mo"
San Diego,CA,,,,32.569747,-117.0126,
San Diego,CA,1250,2.0,2,32.782198,-117.083285,"$1,695/mo"
San Diego,CA,1346,3.0,3,32.799337,-117.116477,"$3,200/mo"
San Diego,CA,,,,32.785235,-117.109274,
San Diego,CA,3122,2.0,3,32.720939,-117.112481,"$2,000/mo"
San Diego,CA,850,2.0,2,32.749037,-117.13721,"$2,190/mo"
San Diego,CA,,,,32.749539,-117.136125,
San Diego,CA,900,1.0,2,32.736696,-117.098182,"$1,700/mo"
San Diego,CA,,,,32.758297,-117.099874,
San Diego,CA,,,,32.762366,-117.12932,
San Diego,CA,900,2.0,2,32.74812,-117.155541,"$1,800/mo"
San Diego,CA,,,,32.721431,-117.164306,
San Diego,CA,,,,32.721431,-117.164306,
San Diego,CA,,,,32.767541,-117.05816,
San Diego,CA,1100,2.0,2,32.81422,-117.17923,"$2,195/mo"
San Diego,CA,500,1.0,1,32.798716,-117.250873,"$1,545/mo"
San Diego,CA,,,,32.749539,-117.136125,
San Diego,CA,832,1.0,2,32.742764,-117.227742,"$1,895/mo"
San Diego,CA,850,2.0,2,32.749037,-117.13721,"$2,190/mo"
San Diego,CA,,,,32.708987,-117.154838,
San Diego,CA,,,,32.762366,-117.12932,
San Diego,CA,900,1.0,2,32.736696,-117.098182,"$1,700/mo"
San Diego,CA,625,1.0,1,32.753625,-117.125578,"$1,795/mo"
San Diego,CA,,,,32.808781,-117.066466,
San Diego,CA,1300,2.0,3,32.56488,-117.08025,"$2,750/mo"
San Diego,CA,,,,32.715336,-117.143395,
San Diego,CA,667,1.0,1,32.786758,-117.108124,"$1,750/mo"
San Diego,CA,2445,2.5,4,32.954144,-117.205242,"$4,550/mo"
Del Mar,CA,,,,32.949255,-117.247418,
San Diego,CA,572,1.0,1,32.924355,-117.143468,"$1,750/mo"
San Diego,CA,2107,3.0,4,32.922995,-117.1453,"$3,200/mo"
San Diego,CA,1600,2.5,3,32.946756,-117.236679,"$3,475/mo"
San Diego,CA,618,1.0,1,32.956581,-117.094983,"$1,750/mo"
San Diego,CA,2025,2.5,4,32.926068,-117.1636,"$3,200/mo"
San Diego,CA,,,,32.926715,-117.14171,
San Diego,CA,2663,3.0,4,32.947711,-117.217276,"$4,495/mo"
San Diego,CA,,,,32.948027,-117.228654,
San Diego,CA,2348,3.0,4,32.969365,-117.173966,"$4,995/mo"
San Diego,CA,720,2.0,2,32.754368,-117.128574,"$2,300/mo"
San Diego,CA,1552,2.5,2,32.794558,-117.233186,"$3,300/mo"
San Diego,CA,750,1.0,2,32.746571,-117.124698,"$2,595/mo"
San Diego,CA,,,,32.911456,-117.225131,
San Diego,CA,306,1.0,0,32.746601,-117.133905,"$1,295/mo"
San Diego,CA,750,1.0,2,32.756646,-117.104281,"$1,895/mo"
San Diego,CA,670,1.0,1,32.76016,-117.085419,"$1,395/mo"
San Diego,CA,550,1.0,1,32.7549,-117.08578,"$1,300/mo"
San Diego,CA,520,1.0,1,32.78904,-117.23614,"$1,990/mo"
