,area in sqft,baths,beds,latitude,longitude,monthly price in $
173,832.0,1.0,2.0,32.744584,-117.14419699999999,1850.0
174,700.0,1.0,1.0,32.749643,-117.24985,2995.0
175,650.0,1.0,1.0,32.738745,-117.22825300000001,1450.0
176,1934.0,2.5,3.0,33.011257,-117.078083,3295.0
177,946.0,2.0,2.0,32.93764,-117.09407900000001,2395.0
178,748.0,1.0,2.0,32.753192,-117.13546699999999,2150.0
179,960.0,2.0,2.0,32.810229,-117.25523100000001,2400.0
180,1471.0,2.5,2.0,32.736832,-117.159719,3195.0
181,1280.0,2.0,2.0,33.008423,-117.06805,2575.0
182,700.0,1.0,2.0,32.795536,-117.247198,2095.0
183,1176.0,2.0,3.0,32.717203999999995,-117.10656000000002,2855.0
184,1700.0,2.0,4.0,32.770055,-117.081759,3625.0
185,600.0,1.0,1.0,32.761409,-117.12208000000001,1350.0
186,1134.0,2.0,3.0,32.923606,-117.15529699999999,2750.0
187,1260.0,2.5,2.0,32.77872,-117.18030900000001,2975.0
188,1050.0,2.0,3.0,32.7584,-117.137243,2395.0
189,600.0,1.0,1.0,32.83466,-117.17691599999999,1550.0
190,1533.0,2.5,3.0,32.945808,-117.235271,3400.0
191,1068.0,2.0,2.0,32.840817,-117.082705,2395.0
192,1100.0,1.0,2.0,32.7611,-117.24949099999999,3000.0
193,1211.0,2.5,2.0,33.02378,-117.110436,2550.0
194,535.0,1.0,1.0,32.749043,-117.156659,1850.0
195,500.0,6.0,0.0,32.75374,-117.09740900000001,950.0
196,800.0,1.0,2.0,32.738811,-117.095785,2100.0
197,600.0,1.0,1.0,32.75374,-117.097301,1300.0
198,987.0,2.0,2.0,32.797655999999996,-117.19122800000001,1995.0
199,1150.0,2.0,3.0,32.777214,-117.17509799999999,2695.0
200,700.0,1.0,1.0,32.804229,-117.22141699999999,1650.0
201,650.0,1.0,1.0,32.806933,-117.22208400000001,1600.0
202,600.0,1.0,2.0,32.791038,-117.24016100000001,2195.0
203,1050.0,1.0,2.0,32.747025,-117.143382,2595.0
204,1156.0,2.0,3.0,32.744172999999996,-117.12746200000001,2450.0
205,650.0,1.0,1.0,32.943863,-117.23218200000001,2000.0
206,1171.0,1.5,2.0,32.770508,-117.18158500000001,2095.0
207,800.0,1.0,2.0,32.787337,-117.23721599999999,2195.0
208,1200.0,2.0,2.0,32.768438,-117.086091,1950.0
209,1274.0,2.5,2.0,32.929586,-117.199747,3095.0
210,625.0,1.0,1.0,32.752096,-117.122095,1495.0
211,3090.0,1.0,2.0,32.803901,-117.24153999999999,1850.0
212,600.0,1.0,1.0,32.797919,-117.23903600000001,1695.0
213,2000.0,3.0,4.0,32.722308,-117.11400400000001,3200.0
214,600.0,1.0,1.0,32.79419,-117.123223,1595.0
215,1458.0,2.5,3.0,32.720878000000006,-117.166519,3999.0
216,800.0,1.0,2.0,32.750943,-117.241768,2295.0
217,1300.0,2.5,3.0,32.74328,-117.25151000000001,3395.0
218,770.0,2.0,2.0,32.762101,-117.12860400000001,2250.0
219,1092.0,2.0,2.0,32.772565,-117.174191,2600.0
220,2419.0,3.5,3.0,32.74573,-117.18162,6250.0
221,1100.0,2.0,3.0,32.727666,-117.11501000000001,3600.0
222,1203.0,2.0,2.0,32.811737,-117.251185,4500.0
223,1284.0,2.5,3.0,32.753772999999995,-117.12084399999999,3300.0
224,890.0,1.0,2.0,32.78895,-117.23658,2998.0
225,1040.0,2.0,2.0,32.815845,-117.178249,1950.0
226,831.0,2.0,2.0,32.912929999999996,-117.13851000000001,2100.0
227,750.0,1.0,2.0,32.758419,-117.08819799999999,1800.0
228,1357.0,2.0,5.0,32.771304,-117.05613400000001,4100.0
229,800.0,1.0,1.0,32.733227,-117.160596,1650.0
230,500.0,1.0,1.0,32.753869,-117.143482,1600.0
231,800.0,2.0,2.0,32.753726,-117.094752,1750.0
232,1400.0,2.0,3.0,32.782691,-117.060627,2900.0
233,784.0,1.0,2.0,32.806162,-117.131075,1750.0
234,600.0,1.0,1.0,32.912929999999996,-117.13851000000001,1690.0
235,1520.0,2.0,3.0,32.806554999999996,-117.23391699999999,4200.0
236,578.0,1.0,1.0,32.766767,-117.05719099999999,1450.0
237,1380.0,2.5,3.0,32.860809,-117.220818,3495.0
238,1007.0,1.0,3.0,32.74034,-117.1095,2500.0
239,927.0,2.0,2.0,32.957343,-117.123659,2100.0
240,600.0,1.0,1.0,32.752305,-117.11659099999999,1650.0
241,2637.0,3.0,4.0,32.722248,-117.25598400000001,5600.0
242,436.0,1.0,0.0,32.724519,-117.228895,1300.0
243,1636.0,2.5,2.0,32.929867,-117.200414,3850.0
244,3028.0,3.5,5.0,32.95655,-117.20531000000001,5750.0
245,1250.0,1.5,2.0,32.763882,-117.13231200000001,3300.0
246,1200.0,2.5,2.0,32.950187,-117.109299,2500.0
247,785.0,1.0,2.0,32.738552,-117.122378,2395.0
248,1406.0,2.5,2.0,32.788888,-117.105905,2650.0
249,1368.0,2.5,3.0,32.9393,-117.23591,3000.0
250,2300.0,4.0,4.0,32.933358,-117.250425,7900.0
251,1902.0,2.5,3.0,32.909197999999996,-117.201231,3600.0
252,636.0,1.0,1.0,32.857189,-117.232456,1600.0
253,700.0,1.0,1.0,32.705798,-117.08781200000001,1495.0
254,1325.0,2.0,2.0,32.736241,-117.162411,3850.0
255,500.0,1.0,1.0,32.748723999999996,-117.250487,1650.0
256,500.0,1.0,1.0,32.76303,-117.129352,1300.0
257,2945.0,2.5,5.0,32.7841,-117.19134,4800.0
258,800.0,2.0,2.0,32.823873,-117.180943,1900.0
259,2171.0,2.5,3.0,32.810425,-117.23054199999999,3900.0
260,1334.0,1.5,3.0,32.781489,-117.10771000000001,3450.0
261,820.0,1.0,2.0,32.758254,-117.117548,1750.0
262,1200.0,1.0,3.0,32.767584,-117.116336,3495.0
263,1150.0,1.0,2.0,32.581319,-117.09948700000001,1695.0
264,1000.0,2.0,2.0,32.737869,-117.254849,4000.0
265,1492.0,2.0,4.0,32.767415,-117.07853200000001,3295.0
266,1080.0,2.0,2.0,32.868302,-117.227875,2350.0
267,575.0,1.0,1.0,32.728372,-117.167422,1450.0
268,1218.0,1.5,3.0,32.733618,-117.12526899999999,2400.0
269,700.0,1.0,1.0,32.751026,-117.141442,1550.0
270,525.0,1.0,1.0,32.725617,-117.16386899999999,1395.0
271,1585.0,2.5,3.0,32.959894,-117.117047,3250.0
272,1139.0,2.0,3.0,32.775562,-117.051226,2400.0
273,400.0,1.0,1.0,32.727561,-117.224981,1325.0
274,478.0,1.0,1.0,32.561726,-117.045478,1400.0
275,1200.0,1.0,2.0,32.751090999999995,-117.141442,2395.0
276,1116.0,2.0,3.0,32.781895,-117.07926699999999,2250.0
277,3985.0,4.5,5.0,32.95705,-117.14758,5000.0
278,800.0,1.0,2.0,32.751607,-117.132989,1790.0
279,850.0,1.0,2.0,32.745069,-117.25447,2238.0
280,1500.0,3.0,3.0,32.742156,-117.23473899999999,3195.0
281,600.0,1.0,1.0,32.728904,-117.16465900000001,1750.0
282,1100.0,2.0,3.0,32.744,-117.10043999999999,2000.0
283,1302.0,2.5,2.0,32.726332,-117.11433500000001,2695.0
284,2138.0,2.5,4.0,32.92053,-117.14076999999999,4600.0
285,1310.0,2.0,3.0,32.744209999999995,-117.1328,3450.0
286,906.0,2.0,2.0,32.801586,-117.240342,2450.0
287,1300.0,2.0,2.0,32.731037,-117.165453,2450.0
288,2317.0,3.5,4.0,32.960192,-117.16006399999999,3600.0
289,3107.0,3.5,4.0,32.964101,-117.145651,4500.0
290,500.0,1.0,1.0,32.706123999999996,-117.125983,1400.0
291,450.0,1.0,1.0,32.671137,-117.05467,1650.0
292,952.0,1.5,3.0,32.834663,-117.200893,2200.0
293,1184.0,2.0,4.0,32.711357,-117.020269,2595.0
294,1946.0,2.0,3.0,32.747859000000005,-117.219066,3400.0
295,635.0,1.0,1.0,32.767781,-117.175076,1898.0
296,450.0,1.0,1.0,32.770111,-117.04767700000001,1395.0
297,3438.0,4.5,4.0,33.030254,-117.111176,4200.0
298,500.0,1.0,1.0,32.755305,-117.083928,1250.0
299,440.0,1.0,1.0,32.751081,-117.192383,1395.0
300,725.0,1.0,2.0,32.711408,-117.14198799999998,1890.0
301,1100.0,2.0,2.0,32.755871,-117.08187,2495.0
302,922.0,2.0,2.0,32.744492,-117.145762,1795.0
303,720.0,1.0,1.0,32.836776,-117.27790900000001,2675.0
304,500.0,1.0,1.0,32.729906,-117.130851,1895.0
305,650.0,1.0,1.0,32.718682,-117.13290400000001,1795.0
306,450.0,1.0,1.0,32.756991,-117.126621,1300.0
307,1100.0,2.0,2.0,32.802082,-117.25170800000001,2695.0
308,1542.0,2.5,3.0,32.918704,-117.14241100000001,2900.0
309,500.0,1.0,0.0,32.726877,-117.169647,1295.0
310,450.0,1.0,0.0,32.727798,-117.16054799999999,1475.0
311,1520.0,1.5,2.0,32.812117,-117.251144,3300.0
312,850.0,1.0,2.0,32.712209,-117.084019,1795.0
313,500.0,1.0,2.0,32.727688,-117.052369,1600.0
314,1180.0,1.0,2.0,32.769502,-117.04606100000001,2100.0
315,1000.0,1.0,2.0,32.796574,-117.250298,2249.0
316,415.0,1.0,0.0,32.804813,-117.155147,1300.0
317,925.0,2.0,2.0,32.814608,-117.08443,2005.0
318,602.0,1.0,1.0,32.95893,-117.11033799999998,1600.0
319,1000.0,1.0,3.0,32.81026,-117.25667,2995.0
320,646.0,1.0,2.0,32.752623,-117.14231399999998,1700.0
321,1036.0,1.0,1.0,32.708915999999995,-117.162494,4500.0
322,600.0,1.0,1.0,32.747298,-117.245411,1790.0
323,400.0,1.0,1.0,32.800263,-117.231024,1750.0
324,800.0,1.0,2.0,32.797901,-117.23163899999999,1990.0
325,569.0,1.0,1.0,32.728285,-117.126626,1445.0
326,912.0,1.0,2.0,32.739818,-117.124742,2700.0
327,400.0,1.0,0.0,32.753485999999995,-117.247699,1500.0
328,700.0,1.0,2.0,32.71804,-117.02958000000001,2275.0
329,720.0,1.0,1.0,32.748267,-117.09306200000002,1450.0
330,2300.0,3.0,5.0,32.782624,-117.057828,3450.0
331,900.0,1.0,1.0,32.742866,-117.144723,1650.0
332,595.0,1.0,2.0,32.74798,-117.106668,1645.0
333,646.0,1.0,2.0,32.752623,-117.14231399999998,1700.0
334,400.0,1.0,1.0,32.753374,-117.247795,1895.0
335,1036.0,1.0,1.0,32.708915999999995,-117.162494,4500.0
336,1930.0,2.0,3.0,32.761251,-117.15773,4350.0
337,800.0,1.0,2.0,32.75801,-117.08771000000002,2350.0
338,912.0,1.0,2.0,32.739818,-117.124742,2700.0
339,400.0,1.0,1.0,32.800263,-117.231024,1750.0
340,800.0,1.0,2.0,32.797901,-117.23163899999999,1990.0
341,569.0,1.0,1.0,32.728285,-117.126626,1445.0
342,480.0,1.0,0.0,32.744309,-117.25323200000001,1350.0
343,750.0,1.0,2.0,32.749477,-117.24963600000001,2195.0
344,400.0,1.0,0.0,32.753485999999995,-117.247699,1500.0
345,1505.0,2.5,3.0,32.982568,-117.067582,3195.0
346,1206.0,2.0,2.0,32.837804,-117.279175,5495.0
347,691.0,1.0,1.0,32.862949,-117.235669,2095.0
348,1134.0,2.0,3.0,32.91881,-117.15518200000001,2600.0
349,2000.0,3.0,4.0,32.854543,-117.206686,3850.0
350,515.0,1.0,0.0,32.84187,-117.28011799999999,1750.0
351,900.0,1.5,2.0,32.904029,-117.117456,2100.0
352,1850.0,2.5,4.0,32.94941,-117.13946000000001,3300.0
353,443.0,1.0,0.0,32.72198,-117.1593,1650.0
354,1715.0,2.0,4.0,32.847614,-117.20799299999999,4500.0
355,450.0,1.0,0.0,32.826938,-117.20518999999999,1350.0
356,2352.0,3.0,5.0,32.847991,-117.207125,5500.0
357,1381.0,2.0,3.0,32.716081,-117.151101,3570.0
358,1300.0,2.5,3.0,32.734001,-117.24543100000001,3495.0
359,1200.0,1.5,3.0,32.747465999999996,-117.16916,2795.0
360,1200.0,1.0,3.0,32.79527,-117.2473,4000.0
361,2200.0,2.5,4.0,32.838555,-117.10269,4000.0
362,1416.0,2.5,3.0,32.854621,-117.234974,3200.0
363,2342.0,3.0,4.0,32.7431,-117.17405,5750.0
364,1655.0,3.0,3.0,32.798103999999995,-117.25436599999999,5000.0
365,1416.0,3.0,3.0,32.731557,-117.167221,3500.0
366,1636.0,2.5,3.0,32.930121,-117.19951,3400.0
367,500.0,1.0,1.0,32.7143,-117.1296,1600.0
368,561.0,1.0,1.0,32.748249,-117.22953700000001,1750.0
369,777.0,1.0,1.0,32.946001,-117.23671599999999,2100.0
370,1164.0,2.0,2.0,33.002066,-117.067379,2100.0
371,750.0,1.0,2.0,32.753209000000005,-117.24898400000001,2470.0
372,1600.0,2.0,3.0,32.861345,-117.25371200000001,6700.0
373,725.0,1.0,1.0,32.715094,-117.138351,1625.0
374,500.0,1.0,0.0,32.782626,-117.20565400000001,1800.0
375,750.0,1.0,2.0,32.76101,-117.13266000000002,1650.0
376,2372.0,2.5,3.0,32.924964,-117.23036100000002,4200.0
377,450.0,1.0,1.0,32.758688,-117.13353700000002,1600.0
378,1535.0,3.0,3.0,33.00806,-117.07756,2700.0
379,780.0,2.0,2.0,32.74928,-117.18943999999999,3000.0
380,535.0,1.0,1.0,32.870596,-117.223701,1650.0
381,882.0,1.0,1.0,32.726729999999996,-117.16893600000002,2295.0
382,525.0,1.0,1.0,32.762475,-117.138478,1600.0
383,800.0,1.0,1.0,32.759214,-117.122685,1850.0
384,1202.0,2.5,2.0,32.947944,-117.22986200000001,2850.0
385,1600.0,2.0,3.0,32.788055,-117.23797900000001,3450.0
386,1804.0,2.5,3.0,32.956789,-117.21793000000001,4100.0
387,1804.0,2.5,3.0,32.956789,-117.21793000000001,4100.0
388,1364.0,2.0,2.0,32.795408,-117.19138999999998,2995.0
389,1531.0,2.0,2.0,32.734187,-117.163503,2995.0
390,951.0,2.0,2.0,32.722609000000006,-117.15793700000002,2295.0
391,1210.0,3.0,2.0,32.829376,-117.227884,2950.0
392,600.0,1.0,1.0,32.757933,-117.147274,1425.0
393,957.0,2.0,2.0,32.707738,-117.137927,2350.0
394,688.0,1.0,1.0,32.801836,-117.046727,1575.0
395,655.0,1.0,1.0,32.77581,-117.133656,1795.0
396,800.0,1.0,2.0,32.803902,-117.22053700000001,2250.0
397,2000.0,2.0,5.0,32.836871,-117.18666499999999,5400.0
398,1089.0,1.0,3.0,32.742693,-117.143933,2800.0
399,925.0,2.0,2.0,32.813602,-117.082898,2005.0
